"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,8752,24,9810,22,0,7000,1,3,50,1500,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,2554,83,0,0,0,0,1,5,0,0,12,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA
2,3647,55,5240,35,22,70000,1,8,43,1595,13,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA
2,4782,63,3258,0,0,1e+05,1,26,52,1664,17,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,5477,31,4610,20,2,14000,1,2,52,1560,16,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,113,64,0,0,0,0,1,4,0,0,17,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA
2,5642,84,0,0,0,0,1,34,0,0,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3971,60,4210,0,0,40000,1,10,37,1651,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,7292,53,3255,25.5,24,50000,1,2,45,2025,14,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4028,40,8640,32.25,5,69000,1,2,50,2250,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8411,33,4920,0,0,10000,1,7,43,1736,16,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,NA
2,7780,41,7340,26,15,58000,1,7,52,2130,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8362,58,8220,21.95,40,85000,1,27,46,2530,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,7263,28,4250,0,0,15000,1,10,19,752,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
