ER72001,ER72002,ER72017,ER72018,ER72195,ER72217,ER72231,ER73069,ER76897,ER76962,ER77249,ER77255,ER77588,ER77591,ER77599
1,1824,61,1,0,0,0,0,1,99,0,0,7814.91,2,12
1,1939,60,1,2320,0,8,58500,1,2,51,3036,68749,4,17
1,1386,39,1,4220,21,5,60000,1,3,51,4590,51067.61,4,10
1,2289,36,2,0,0,0,0,1,3,0,0,26192.88,2,11
1,2621,34,1,1050,0,4,70000,1,99,50,3000,44495.57,2,12
1,2694,58,1,2750,0,0,60000,1,38,52,2600,154730,2,16
1,1397,47,1,4250,0,0,400,7,27,4,72,46650,2,12
1,1486,38,1,4700,0,7,52500,1,10,52,2064,55689,2,12
1,1430,45,1,7420,16.5,4,25000,1,3,49,2964,39022,4,12
1,2237,32,1,2340,0,2,50000,1,8,51,2024,51360,4,16
1,2047,65,1,1300,0,0,0,1,9,51,1530,71854,1,17
1,2518,44,1,3710,60,14,138000,1,14,46,2070,125080,1,14
1,2056,26,2,2310,0,5,46000,1,1,52,2340,51898,1,17
1,2065,59,1,3710,0,32,227000,1,4,46,2713,177685,1,17
1,1792,68,1,800,0,0,145000,1,16,47,887,123382,1,16
1,1860,67,1,120,0,0,42000,1,21,46,1932,14720,3,16
